Age,Gender,Locality,Marital Status,Category,Economic Status,Institution type,Affiliation,Mode of Study,Undergraduate,Postgraduate,Semester,Mother's Education ,Father's Education ,Pre-Owned Disease - Mental,Pre-Owned Disease - Physical ,"PI [In case of some difficult subjects, I can't concentrate in the class.]",PI [While listening to the lectures I keep on making movements.],PI [I become uneasy or uncomfortable about my inability to take the decision about which subject and how much should I study.],PI [I feel like postponing study plan.],PI [I feel to bunk lectures when I do not understand class lectures.],PI [I become uncomfortable as I do not concentrate on my study.],PI [I experience heaviness of head while studying some subjects.],PI [I become anxious with a thought that I have a low intellectual level.],PI [I become uneasy when I fail to remember my study.],PI [I become fatigued after the study.],PI [I experience heaviness in the head when I see books and notes.],PI [I become uneasy with the idea of whether to play or study.],"PI [While studying, I feel that some subjects are beyond my grasp.]",PI [I experience duality of mind whether the selected curriculum is proper or improper for me.],"PI [Due to the dislike for some subjects, I do not feel like studying.]",PI [I am in the habit of daydreaming while listening to the lectures or studying.],IPT [I get bored with uninterested teaching.],IPT [I am afraid of examinations due to the incomplete syllabus.],IPT [I become restless when I realize that my friends have completed their study.],IPT [There is a burden of high expectations of teachers upon me.],IPT [I get irritated due to the teacher's partiality.],"IPT [I become uneasy when my friends who get the same marks like me, are appreciated by others.]",IPT [I become uncomfortable when I do not get the appointment of the teachers for clearing my doubts.],IPT [I have to study regularly in order to get more marks than my friends.],IPT [I feel like avoiding the college as my friends tease me.],IPT [I get angry because some teachers avoid lectures.],IPT [I have a pressure of completing home assignments in time.],IPT [I become frightened while answering the questions asked by the teachers.],IPT [I feel the pressure of teachers' strict discipline.],IPT [I become uneasy when I waste my time in the company of my friends.],IPT [I feel pressure while communicating with teachers due to the internal disputes between them.],IPT [I dare not asking questions to the teachers.],"IPT [Due to the grouping of students, I always feel under the pressure.]",FE [I become restless due to the non-preparation in the examination.],FE [I become sad or nervous with the idea of getting fewer marks in the examination.],FE [I become irritated because I do not get enough sleep during the examination.],FE [It troubles me that I might fell sick during the examination.],FE [I have become insensitive due to exhaustive study.],FE [I experience the problem of indigestion during examination time.],FE [I become frightened while entering the examination hall.],FE [I am afraid of failure in the examination despite good study.],FE [I frequently become sick during the examination.],FE [I don't have sound sleep due to the thoughts of examination.],FE [I become tense due to the incomplete study of some subjects.],IFC [I become unenthusiastic due to the non-ventilated atmosphere in the classroom.],IFC [I become angry due to the non-cooperation of the non-teaching staff.],IFC [I become nervous if I do not get a seat in the study room.],IFC [I get bored due to non-ventilated classrooms.],IFC [The constant noise around the college campus troubles me.],IFC [Academic overload makes me tired.],IFC [I become fatigued due to the busy academic schedule of college.],IFC [I feel like taking holiday due to the academic burden.],"IFC [Due to unavailability of expert teachers and inadequate subject knowledge of teachers, I become uncomfortable.]",PE&SES [I feel the pressure of strict disciplined parents.],PE&SES [I get tired adjusting with study and household duties.],PE&SES [There is a pressure of parents on me to get highest marks.],PE&SES [I become nervous as I can't participate in trip due to financial problems.],PE&SES [There is a pressure of parents on me to study hard instead of wasting time in the company of friends.],PE&SES [The financial problem of my family makes me anxious.],PE&SES [I am irritated with the constant suggestions by the parents for study.],PE&SES [There is a pressure of returning home early from the college.],PE&SES [I become sad because I cannot enjoy like my other friends due to financial problems.],PE&SES [There is a pressure of parents on me to score more marks than my friends.],PE&SES [I feel nervous because I can't purchase reference books or notes in time.],PE&SES [I suffer from an inferiority complex because the social status of my family is low compared to friends.],PE&SES [There is a pressure of parents on me to participate in extracurricular activities.],PI_Score,IPT_Score,FE_Score,IFC_Score,PESES_Score,Total_Stress_Score
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,University,Government,Regular mode,Science,Science,Second,Intermediate,Intermediate,No,No,4,2,4,4,3,2,3,2,3,3,2,1,2,2,2,2,3,3,2,4,2,4,3,5,1,3,3,1,1,2,2,1,1,5,4,4,1,3,3,2,5,4,2,4,2,2,1,1,1,2,3,4,3,4,1,4,2,5,1,1,1,2,5,2,3,3,41,41,37,19,34,172
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Not Applicable,Forth,Intermediate,Intermediate,No,No,5,4,5,5,3,5,5,5,5,4,4,4,4,5,5,5,5,5,5,3,3,3,3,3,3,3,5,5,3,3,3,5,5,5,4,4,4,2,2,5,5,2,4,5,3,3,4,5,3,4,5,5,5,2,3,2,4,4,5,3,5,4,2,3,2,3,73,65,42,37,42,259
Between 18 to 25,Female,Urban,Unmarried,General,Antyodaya,College,Government,Regular mode,Science,Science,Forth,Intermediate,Intermediate,No,No,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,4,4,3,5,4,2,4,2,4,4,3,5,3,4,3,4,3,4,3,4,3,3,3,3,3,4,5,2,4,3,3,3,3,49,46,39,33,42,209
Between 18 to 25,Female,Urban,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Intermediate,Literate,No,No,5,3,2,3,3,4,1,2,4,3,3,3,3,4,2,5,4,2,4,2,1,2,2,1,1,2,4,4,2,2,2,3,1,3,3,4,2,2,2,3,2,1,2,3,2,3,2,3,3,4,3,2,3,1,4,1,3,2,3,2,2,3,2,2,2,2,50,39,27,25,29,170
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Sixth,Graduate,Literate,No,No,3,3,2,3,3,4,2,2,3,2,2,2,3,3,2,2,4,4,4,2,3,2,2,3,2,2,2,4,3,2,2,3,3,2,4,3,4,4,2,2,2,2,4,4,2,3,4,3,3,3,3,3,2,2,3,2,4,4,4,3,3,4,3,2,3,3,41,47,33,26,40,187
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Science,Science,Second,Literate,Intermediate,No,No,5,4,5,5,2,4,4,4,3,4,3,4,5,4,4,4,2,4,3,3,4,2,4,4,1,2,5,5,5,3,4,5,4,4,2,2,2,2,2,4,4,4,3,4,3,4,2,3,4,5,5,4,2,1,2,2,2,2,2,3,2,2,2,2,4,2,64,60,33,32,28,217
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Science,Science,Sixth,Intermediate,Intermediate,No,No,4,4,4,3,4,3,4,3,4,1,1,1,2,3,3,3,4,3,3,3,5,3,4,4,1,3,4,4,3,3,5,5,5,3,3,3,4,3,2,2,2,2,2,2,5,5,5,5,5,1,2,2,4,1,2,1,4,2,3,1,1,3,2,4,2,2,47,62,28,34,28,199
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Antyodaya,Campus ,Government,Regular mode,Science,Not Applicable,Forth,Literate,Literate,No,No,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,50,51,33,27,39,200
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Graduate,Graduate,No,No,3,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,4,2,4,2,2,2,2,4,2,2,36,36,24,19,32,147
Between 18 to 25,Male,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Literate,Literate,No,No,2,4,3,4,2,4,4,3,4,3,2,3,2,2,4,2,4,4,2,4,4,2,4,4,4,3,4,4,4,4,3,4,2,2,3,2,4,4,4,4,4,4,3,4,3,4,5,4,5,4,3,2,3,2,2,2,4,2,4,2,2,2,2,4,3,2,48,60,38,33,33,212
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Literate,Literate,No,No,3,3,4,4,2,3,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,52,45,21,17,25,160
Between 18 to 25,Male,Urban,Unmarried,General,Below Poverty Line (BPL),University,Private,Regular mode,Science,Arts,Forth,Graduate,Graduate,No,No,4,4,5,4,4,5,4,3,5,4,4,3,4,4,5,4,5,5,4,5,4,3,5,3,3,5,5,4,4,3,4,5,4,5,5,5,5,4,3,4,4,2,3,5,2,3,4,4,4,4,4,4,5,3,4,3,4,4,5,4,3,4,3,3,3,3,66,71,45,34,46,262
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Science,Science,Second,Literate,Intermediate,No,No,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,48,51,33,27,40,199
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Forth,Literate,Literate,No,No,3,4,5,5,5,5,2,4,4,2,2,1,2,5,3,4,5,5,5,5,5,4,4,5,4,2,5,4,3,2,4,4,4,5,2,2,4,3,4,2,4,4,3,5,2,3,4,3,4,5,5,4,3,2,2,2,4,4,4,3,4,2,1,1,3,1,56,70,38,33,33,230
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Science,Science,Forth,Literate,Literate,No,No,2,2,2,2,1,1,3,2,3,2,2,3,2,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,4,2,2,2,4,1,4,4,2,2,2,3,4,4,2,3,2,2,1,1,2,4,1,1,1,1,1,1,1,1,35,37,34,24,18,148
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Science,Science,Second,Literate,Literate,No,No,2,3,1,4,1,1,4,1,3,2,2,4,4,5,5,2,3,2,3,4,5,4,2,4,4,4,4,4,3,2,2,4,4,4,4,5,4,2,2,4,4,2,4,4,2,3,4,2,3,4,2,4,5,2,4,2,3,2,5,3,5,4,2,2,4,2,44,58,39,29,40,210
Between 18 to 25,Female,Rural,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Science,Not Applicable,Sixth,Literate,Literate,No,No,4,3,4,4,3,5,3,3,4,3,4,3,3,3,4,4,3,4,3,3,3,2,4,3,3,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,4,4,4,4,3,4,3,4,2,2,4,2,4,4,2,2,4,2,2,57,57,42,33,37,226
Between 18 to 25,Female,Urban,Unmarried,Scheduled Tribe,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Second,Literate,Intermediate,No,No,4,4,4,4,4,3,3,4,4,5,3,2,3,4,3,4,4,3,4,2,3,2,3,4,2,3,4,5,4,4,3,4,3,4,5,2,4,2,3,3,4,2,4,5,3,3,3,3,4,4,2,4,3,2,2,3,3,2,2,4,3,2,2,4,2,2,58,57,38,29,33,215
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Sixth,Literate,Literate,No,No,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,46,56,44,36,55,237
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Science,Second,Literate,Graduate,No,No,5,4,5,5,2,5,4,5,5,3,2,2,5,4,2,4,3,5,3,3,1,2,3,2,2,2,3,5,2,3,4,4,2,4,5,4,5,4,3,5,4,3,4,4,3,2,2,2,2,4,4,3,2,2,4,4,3,3,5,3,2,4,3,4,3,2,62,49,45,24,42,222
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),LSM PG campus pithoragarh ,Government,Regular mode,Science,Science,Forth,Literate,Intermediate,No,No,3,3,4,4,3,4,4,4,4,4,3,3,4,3,3,4,3,4,3,3,2,2,2,2,2,4,3,4,3,2,3,2,3,4,4,4,4,3,2,4,4,2,4,4,3,3,3,3,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,57,47,39,30,29,202
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Sixth,Literate,Literate,No,No,3,2,3,3,2,4,2,1,3,4,3,2,2,3,2,1,3,2,3,3,5,2,2,4,2,2,5,3,2,4,2,4,2,4,3,5,3,5,2,2,2,2,2,3,4,2,2,4,4,5,5,4,3,2,5,3,2,2,5,2,2,2,2,4,2,2,40,50,33,33,35,191
Between 18 to 25,Female,Urban,Married,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Forth,Intermediate,Graduate,No,No,4,1,2,2,2,3,4,4,4,2,2,3,4,4,2,3,4,4,3,4,5,2,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,2,4,4,2,4,4,3,3,1,3,2,3,2,1,4,2,4,2,2,2,2,2,4,2,2,2,2,2,46,63,40,22,30,201
Between 18 to 25,Male,Urban,Unmarried,Scheduled Tribe,Below Poverty Line (BPL),College,Government,Regular mode,Science,Not Applicable,Second,Graduate,Graduate,No,No,4,3,5,3,3,2,4,4,5,4,3,4,4,4,4,4,4,4,5,3,2,3,2,4,4,2,5,4,4,3,2,3,3,4,5,5,4,4,3,4,4,3,4,4,3,3,3,3,2,4,4,4,2,2,3,2,4,3,4,4,3,5,3,2,4,4,60,57,44,28,43,232
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Graduate,Graduate,No,No,5,3,5,3,2,3,4,4,5,4,3,2,5,5,4,2,3,4,4,3,2,2,2,4,2,2,4,4,3,3,2,2,2,4,5,3,3,2,2,4,4,2,3,5,2,2,2,2,2,4,4,4,3,2,3,4,2,2,4,2,2,2,2,2,2,3,59,48,37,25,32,201
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Science,Science,Forth,Graduate,Intermediate,No,No,3,1,2,2,1,1,1,1,2,3,1,2,2,2,2,1,1,4,2,2,1,2,2,4,4,4,4,4,2,4,2,3,2,4,3,2,3,2,1,2,3,1,4,4,3,3,4,2,2,3,2,3,2,2,2,3,2,4,2,3,4,2,4,2,1,2,27,47,29,24,33,160
Between 18 to 25,Female,Rural,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Forth,Literate,Intermediate,No,No,4,1,2,2,2,3,4,4,4,2,2,3,4,4,2,3,4,4,3,4,5,2,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,4,2,4,4,4,4,4,3,3,1,3,2,3,2,1,4,2,4,2,2,2,2,2,4,2,2,2,2,2,46,63,42,22,30,203
Between 18 to 25,Female,Rural,Married,General,Above Poverty Line (APL),Campus,Government,Regular mode,Science,Science,Forth,Literate,Literate,No,No,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,34,34,22,18,26,134
Between 18 to 25,Female,Urban,Married,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Not Applicable,Sixth,Graduate,Graduate,No,No,3,2,2,2,1,2,4,3,4,3,2,2,4,3,2,2,4,4,3,2,1,1,3,4,2,4,4,3,2,4,5,2,5,5,3,4,4,2,3,2,4,4,4,4,3,2,4,4,2,2,4,4,2,2,4,4,4,4,4,2,4,4,5,5,4,5,41,53,39,27,51,211
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Sixth,Literate,Graduate,No,No,3,4,3,2,1,1,1,1,1,3,2,2,1,2,2,1,3,2,3,2,1,2,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,30,34,22,18,21,125
Between 18 to 25,Female,Rural,Unmarried,Scheduled Caste,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Second,Graduate,Graduate,No,No,4,3,3,2,2,2,4,4,2,2,4,4,4,4,2,4,2,4,2,2,2,4,4,4,4,2,2,2,2,2,2,4,2,4,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,4,2,2,2,4,4,2,2,50,46,27,18,36,177
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),University,Government,Regular mode,Science,Science,Second,Above Graduation,Above Graduation,No,No,2,2,3,1,1,1,2,3,3,2,1,3,3,3,2,1,3,3,2,2,2,2,4,4,1,4,2,2,2,4,2,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,2,2,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,33,43,25,19,13,133
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Private,Regular mode,Science,Science,Second,Intermediate,Above Graduation,No,No,4,3,4,2,2,4,4,2,2,3,3,4,4,4,4,3,4,4,4,4,4,2,4,2,2,2,3,4,2,2,2,2,2,4,4,4,4,2,2,4,4,3,3,2,4,4,2,3,4,3,4,4,4,2,4,4,2,4,2,3,2,2,2,2,2,2,52,49,36,32,33,202
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Not Applicable,Second,Above Graduation,Literate,No,No,3,2,4,3,4,4,4,1,4,2,2,3,4,5,2,1,5,2,3,2,4,4,4,3,1,3,5,4,5,1,4,4,2,1,3,4,5,4,3,4,4,3,4,4,4,5,5,3,2,5,4,5,4,4,5,5,1,3,3,4,2,1,3,1,1,2,48,56,39,37,35,215
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,Campus ,Government,Regular mode,Science,Not Applicable,Forth,Intermediate,Intermediate,No,No,3,3,4,3,4,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,2,4,4,4,4,4,2,5,2,5,4,5,4,4,5,4,5,5,2,56,63,42,32,52,245
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Regular mode,Science,Not Applicable,Forth,Literate,Literate,No,No,2,4,3,2,1,4,2,3,4,2,1,2,2,2,3,3,4,3,2,2,3,3,2,3,1,4,4,2,3,2,2,2,3,3,3,2,4,3,3,2,2,2,2,4,3,4,3,4,4,4,3,3,4,3,4,3,4,3,4,3,3,4,3,4,4,2,40,45,30,32,44,191
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Science,Science,Forth,Literate,Above Graduation,No,No,4,3,3,3,5,3,4,3,4,4,3,3,3,3,1,3,1,2,3,2,3,5,3,3,3,3,5,4,3,2,4,4,2,3,4,4,3,3,3,3,4,4,4,3,3,2,4,4,4,3,4,2,3,2,4,3,4,3,4,2,3,4,4,4,4,2,52,52,38,29,43,214
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,University,Government,Regular mode,Science,Not done currently in bsc,Forth,Intermediate,Intermediate,No,No,4,3,4,3,4,5,5,5,5,4,3,3,4,4,3,3,3,4,4,3,2,2,2,4,3,2,2,4,3,4,3,3,3,4,4,5,5,5,3,4,3,3,4,3,3,5,4,5,4,4,3,4,4,4,3,2,3,3,3,3,4,4,3,4,4,1,62,51,43,36,41,233
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Forth,Above Graduation,Above Graduation,No,No,4,3,3,4,4,4,4,2,4,2,2,4,3,4,4,4,4,2,3,4,5,3,3,4,3,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,5,4,5,3,3,3,3,5,3,2,4,2,4,2,4,3,2,4,3,2,3,55,56,34,35,38,218
Between 18 to 25,Female,Rural,Unmarried,General,Antyodaya,University,Government,Regular mode,Science,Science,Second,Intermediate,Intermediate,No,No,4,3,4,2,2,4,3,3,4,2,2,4,4,3,2,3,4,5,2,3,2,1,4,4,2,2,2,5,2,2,2,4,2,5,5,2,3,3,2,4,4,1,2,5,3,3,2,3,4,2,3,3,3,2,2,1,2,2,4,2,2,4,1,4,2,2,49,48,36,26,30,189
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Not Applicable,Forth,Intermediate,Intermediate,No,No,3,3,3,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,39,37,22,19,28,145
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Intermediate,Graduate,No,No,3,2,3,3,2,4,3,2,4,3,2,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,2,4,3,3,3,2,3,4,4,4,3,4,2,3,4,4,4,5,4,4,4,5,4,4,4,4,4,4,2,4,3,3,4,4,2,3,3,3,3,48,59,39,38,42,226
Between 18 to 25,Male,Rural,Unmarried,General,Above Poverty Line (APL),College,Government,Distance mode,Science,Science,Second,Literate,Literate,No,No,4,3,4,2,1,3,3,1,3,2,2,2,3,4,2,1,2,2,2,1,3,3,4,4,1,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,40,44,32,27,39,182
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Science,Science,Forth,Graduate,Graduate,No,No,3,2,3,2,2,3,3,3,3,3,2,2,3,3,3,4,4,4,3,2,2,2,3,4,2,4,4,3,3,3,3,3,3,4,3,5,3,3,2,3,4,4,4,4,3,3,4,4,2,4,3,3,5,3,3,3,3,4,3,3,4,3,2,4,3,3,44,52,39,31,41,207
Between 18 to 25,Female,Urban,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Intermediate,Intermediate,No,No,4,4,4,4,4,4,2,2,4,4,4,2,4,4,4,2,2,4,4,2,2,2,2,2,4,2,4,4,4,2,4,4,4,4,3,2,3,3,3,3,4,3,2,4,3,3,3,3,2,2,3,3,2,2,4,2,4,2,2,4,4,4,2,4,4,2,56,52,34,24,40,206
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Not Applicable,Second,Literate,Literate,No,No,4,2,3,3,2,3,4,4,3,4,2,2,4,3,4,3,4,2,2,2,3,3,2,3,2,2,4,5,4,2,3,4,2,4,4,4,2,2,2,4,4,2,4,4,2,4,2,2,2,2,2,2,2,2,3,2,2,2,4,3,2,2,2,2,2,2,50,49,36,20,30,185
Between 18 to 25,Male,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Distance mode,Science,Science,Second,Graduate,Literate,No,No,3,1,1,1,3,3,3,2,3,1,2,2,2,2,3,2,4,3,1,1,1,1,1,3,1,3,3,1,1,3,2,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,3,3,5,2,3,1,2,3,1,1,1,1,34,32,16,13,27,122
Between 18 to 25,Female,Urban,Unmarried,General,Above Poverty Line (APL),College,Government,Regular mode,Science,Science,Forth,Above Graduation,Intermediate,No,No,3,2,3,4,2,2,2,4,3,2,2,2,3,4,4,5,4,5,5,5,4,2,2,5,2,4,4,5,3,5,3,5,2,4,5,4,2,2,4,5,5,3,4,5,3,3,4,3,3,4,2,2,5,2,5,5,5,5,5,3,4,4,4,3,5,3,47,65,43,29,53,237
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Private,Regular mode,Science,Science,Forth,Intermediate,Intermediate,No,No,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,34,50,33,23,30,170
Between 18 to 25,Female,Urban,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Not Applicable,Arts,Forth,Intermediate,Literate,No,No,3,3,3,2,2,3,2,2,3,3,2,2,3,3,2,3,4,4,4,1,2,1,2,2,1,2,2,4,1,1,2,3,2,4,2,4,4,3,2,2,2,2,4,3,3,4,2,3,3,3,2,2,2,2,2,2,2,2,3,2,2,2,1,1,1,2,41,38,32,24,24,159
Between 18 to 25,Female,Rural,Unmarried,Other Backward Classes (OBC),Below Poverty Line (BPL),University,Government,Regular mode,Science,Not Applicable,Second,Literate,Literate,No,No,3,2,4,4,5,4,4,3,4,5,2,3,4,4,4,3,5,4,3,2,2,4,2,5,2,2,3,2,3,4,4,2,2,5,5,1,4,2,2,4,4,2,2,5,2,1,4,4,2,2,2,2,2,1,1,2,2,3,3,4,2,1,2,2,2,1,58,51,36,21,26,192
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Intermediate,Intermediate,No,No,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,17,11,9,13,66
Between 18 to 25,Male,Urban,Unmarried,Scheduled Caste,Antyodaya,College,Government,Regular mode,Science,Not Applicable,Forth,Graduate,Above Graduation,No,No,2,2,2,4,1,3,3,2,3,2,2,2,3,4,3,2,4,5,2,3,5,2,3,2,2,4,3,2,2,3,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,3,2,2,2,4,2,2,2,2,1,2,2,2,2,2,1,2,1,40,48,19,21,23,151
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),University,Government,Distance mode,Science,Not Applicable,Sixth,Literate,Literate,No,No,5,3,4,4,4,4,4,4,4,3,4,1,3,3,4,4,4,3,3,1,3,2,2,2,2,2,2,4,3,2,4,5,2,4,4,3,1,2,1,2,4,1,2,4,3,2,3,3,2,3,3,3,2,4,4,3,3,3,4,4,3,3,4,3,5,2,58,46,28,24,45,201
Between 18 to 25,Female,Rural,Unmarried,General,Below Poverty Line (BPL),College,Government,Regular mode,Science,Science,Forth,Intermediate,Intermediate,No,No,4,3,3,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,60,65,44,33,52,254
